,0
757,US8154922-0
758,US5022229-0
759,US9839063-0
760,US8704892-0
761,US10108539-0
762,US8093111-0
763,US4397664-0
764,US4774629-0
765,US9243992-0
766,US8819138-0
767,US11284379-0
768,US9775619-0
769,US5965827-0
770,US5145087-0
771,US4856636-0
772,US9796155-0
773,US4000256-0
774,US8583273-0
775,US4853527-0
776,USPP17920-0
777,US7966045-0
778,US11051055-0
779,US9980416-0
780,USD652979-0
781,US11081314-0
782,US6117498-0
783,US6307942-0
784,USD617186-0
785,US4776785-0
786,US4468687-0
787,US7103601-0
788,US6869666-0
789,US5099077-0
790,US8977244-0
791,US6589215-0
792,US6474966-0
793,US6177025-0
794,US8804145-0
795,US4837187-0
796,US4228080-0
797,US5313655-0
798,US4615373-0
799,US9041731-0
800,US10997864-0
801,US6165996-0
802,US4947276-0
803,US5343935-0
804,US9968365-0
805,US6470364-0
806,US7256371-0
807,US10060914-0
808,US10043346-0
809,US10422604-0
810,US10312397-0
811,US10379232-0
812,US7741483-0
813,US10807452-0
814,US7116456-0
815,US6427162-0
816,US8343860-1
817,USD774216-0
818,US6055946-0
819,US10304580-0
820,US4090477-0
821,US9934131-0
822,US8203688-0
823,US9106026-1
824,US9285238-0
825,US8473152-0
826,US7058522-0
827,US5137787-0
828,US4837010-0
829,US10196215-0
830,US9035870-0
831,US5887945-0
832,US4450755-0
833,US5672281-0
834,US6635869-0
835,US10510057-0
836,US6054912-1
837,US5408428-0
838,US10609577-0
839,US5464335-0
840,USD826241-0
841,US5920306-0
842,US4150541-1
843,USD399935-0
844,US7628528-0
845,US6408147-0
846,US5995187-0
847,US6441018-0
848,US9549805-0
849,US7794341-0
850,US9515417-0
851,US4024839-0
852,US4379887-0
853,US5059507-0
854,US4051930-0
855,US8965666-1
856,USD693236-0
857,US5020599-0
858,US9966123-0
859,US4896257-0
860,US10836094-0
861,US4448122-0
862,US11273126-0
863,US9718760-0
864,US4401302-0
865,US4739843-0
866,US5797001-0
867,US5014735-0
868,US4183982-0
869,US10049372-0
870,US8069201-0
871,US4499243-0
872,US5231884-0
873,US4593036-0
874,US5576723-0
875,US10882221-0
876,US5946376-0
877,US7002359-0
878,US9882206-0
879,US10076283-0
880,US6737741-0
881,US10021271-0
882,US10627395-0
883,USD958012-0
884,US9406684-0
885,US9829671-0
886,US5867906-0
887,US4036947-0
888,US6207377-0
889,US7674590-0
890,US5302919-0
891,US9648451-0
892,US5018435-2
893,US6864166-0
894,US8965621-0
895,USD570791-0
896,US7505993-0
897,US9754813-0
898,US7838613-0
899,US6266418-0
900,USD619413-0
901,US11417134-0
902,US9088077-0
903,US9286888-0
904,US7638882-0
905,US8673321-0
906,US10738541-0
907,US8111127-0
908,US10003141-1
909,US10080284-0
910,US8495457-0
911,US9026330-0
912,US10088455-0
913,US11446927-0
914,USD615199-0
915,US5317752-0
916,US11236201-0
917,US5260027-0
918,US5120838-0
919,US11055451-0
920,US11028819-0
921,US10327360-0
922,US9291101-0
923,US5516579-0
924,US9137221-0
925,US9642429-0
926,US4536213-0
927,US9314216-0
928,US9976222-0
929,US10045945-0
930,US7290100-0
931,US5909429-0
932,US9439130-0
933,US7316061-0
934,US9770574-0
935,US10796344-0
936,USPP18153-0
937,US8618675-0
938,US5954157-0
939,US9015982-0
940,US8552283-0
941,US9783882-0
942,USD461501-0
943,USD946016-0
944,US5714464-0
945,US10927301-0
946,US5327134-0
947,US6721275-0
948,US7955817-0
949,USD759493-0
950,US5698553-0
951,US7759212-0
952,US8700986-0
953,US4705832-0
954,US10443019-0
955,US10434526-0
956,US4480123-0
957,US6339030-0
958,US5978930-0
959,US9584973-0
960,US7635727-0
961,US9516160-0
962,US9400696-0
963,US7202836-0
964,US4085424-0
965,US6319403-0
966,US6765055-0
967,US9025741-0
968,US11076845-0
969,US7954937-0
970,US4383553-0
971,US10407331-0
972,US7031381-0
973,US10852575-0
974,US7167577-0
975,US10691951-0
976,US6810321-0
977,US8666427-0
978,US8476767-0
979,US6311388-0
980,US6702705-0
981,US6026285-0
982,US4481195-1
983,US9227976-0
984,US11338763-0
985,US8187577-0
986,US5642488-0
987,US9276134-0
988,US5080570-0
989,US6273038-0
990,US8967676-0
991,US6640719-0
992,USD777965-0
993,US7248624-0
994,US10702303-0
995,US7325526-0
996,US9656703-0
997,US11357089-0
998,US8809069-0
999,US7547642-0
1000,US10419405-0
1001,US5782980-0
1002,USD805888-0
1003,US10307435-0
1004,US8962806-0
1005,USD920227-0
1006,USD901900-0
1007,US7213682-0
1008,US9036888-0
1009,US8162522-0
1010,US9322674-0
1011,US9123989-0
1012,US7294581-0
1013,US8076183-0
1014,US8029144-0
1015,US7998934-0
1016,US11444146-0
1017,US8372842-0
1018,US10805992-0
1019,US4646094-0
1020,US10381017-0
1021,US6045104-0
1022,US9953849-0
1023,US5854142-0
1024,US5098267-0
1025,US7869280-0
1026,US7822061-0
1027,US9907613-0
1028,US8881613-0
1029,USD884725-0
1030,US9204691-0
1031,US7078550-0
1032,US4824594-0
1033,US7134831-0
1034,US7615346-0
1035,USD778283-0
1036,US11006312-0
1037,US4702717-0
1038,US11176493-0
1039,US9681615-0
1040,US7980529-0
1041,US11097917-0
1042,US11211531-0
